gsp_group_id,bmu_id,bmu_name,bmu_type,ngc_bmu_id,fuel_type,lead_party_id,lead_party_name,trading_unit_name,transmission_loss_factor,valid_from,valid_to,gsp_name,dno
_P,C__PSMAR001,C__PSMAR001-AAA-ACH-183,S,ACHLW-1,WIND,SMARTEST,Smartestenergy Limited,DEFAULT__P,-0.0417624,2024-09-02,9999-12-31,Northern Scotland,Scottish and Southern Electricity Networks
,T_COUWW-1,Cour Wind Farm,T,COUWW-1,WIND,CWF2016,Cour Wind farm (Scotland) Ltd,,-0.0417624,2024-09-02,9999-12-31,,
,T_CRMLW-1,Corriemoillie,T,CRMLW-1,WIND,LENCO,EDF Energy Customers Ltd,,-0.0417624,2024-09-02,9999-12-31,,
,T_CGTHW-1,Corriegarth WF,T,CGTHW-1,WIND,CRGTHW,Corriegarth Wind Energy LTD,,-0.0417624,2024-09-02,9999-12-31,,
_P,E_CNCLW-1,Coire Na Cloiche WF,E,CNCLW-1,WIND,STATKRA1,Statkraft Markets Gmbh,DEFAULT__P,-0.0417624,2024-09-02,9999-12-31,Northern Scotland,Scottish and Southern Electricity Networks
,T_CLDSW-1,Clyde South,T,CLDSW-1,WIND,CWSL,Clyde Windfarm (Scotland) Ltd,,-0.0146251,2024-09-02,9999-12-31,,
,T_CLDNW-1,Clyde North,T,CLDNW-1,WIND,CWSL,Clyde Windfarm (Scotland) Ltd,,-0.0146251,2024-09-02,9999-12-31,,
,T_CLDCW-1,Clyde Central,T,CLDCW-1,WIND,CWSL,Clyde Windfarm (Scotland) Ltd,,-0.0146251,2024-09-02,9999-12-31,,
_P,E_CLDRW-1,CLDRW-1,E,CLDRW-1,WIND,VTS,Vattenfall Energy Trading,DEFAULT__P,-0.0417624,2024-09-02,9999-12-31,Northern Scotland,Scottish and Southern Electricity Networks
_P,E_CLFLW-1,Clachan Flats,E,CLFLW-1,WIND,SPCRE01,SP Renewables (UK) Limited,DEFAULT__P,-0.0417624,2024-09-02,9999-12-31,Northern Scotland,Scottish and Southern Electricity Networks
,T_CRGHW-1,Carraig Gheal Wind Farm,T,CRGHW-1,WIND,STATKRA1,Statkraft Markets Gmbh,Carraig Gheal,-0.0417624,2024-09-02,9999-12-31,,
_P,E_BNWKW-1,Burn of Whilk Windfarm,E,BNWKW-1,WIND,ENECOUK,Eneco Energy Trade,DEFAULT__P,-0.0417624,2024-09-02,9999-12-31,Northern Scotland,Scottish and Southern Electricity Networks
_D,E_BURBO,Burbo Offshore Wind,E,BURBW-1,WIND,DONG001,Orsted Burbo (UK) Limited,DEFAULT__D,-0.0024907,2024-09-02,9999-12-31,Merseyside and Northern Wales,SP Energy Networks
,T_BRBEO-1,BURBO_EXTENSION,T,BRBEO-1,WIND,DONG010,Burbo Extension Limited,,-0.0024907,2024-09-02,9999-12-31,,
,T_BROCW-1,Broken Cross WF,T,BROCW-1,WIND,SMARTEST,Smartestenergy Limited,,-0.0146251,2024-09-02,9999-12-31,,
,T_WISTW-2,Brockloch Rig 2 WF Exp A,T,WISTW-2,WIND,BRWLTD,BROCKLOCH RIG WINDFARM LTD,,-0.0146251,2024-09-02,9999-12-31,,
