date,change,num_trades,aggregated_change
2024-08-09,-4.625870662842748,37.0,-4.625870662842748
2024-08-10,28.986714259979582,328.0,24.360843597136835
2024-08-11,23.50558266951374,583.0,47.86642626665058
2024-08-12,20.746412566940762,1347.0,68.61283883359134
2024-08-13,48.35124110186724,2409.0,116.96407993545859
2024-08-14,110.76559548458883,2640.0,227.7296754200474
2024-08-15,28.10093502173376,2631.0,255.83061044178118
2024-08-16,73.5758297380196,2720.0,329.40644017980077
2024-08-17,108.32825492394862,2843.0,437.7346951037494
2024-08-18,-9.319298006034414,2703.0,428.415397097715
2024-08-19,152.7973727219146,3028.0,581.2127698196296
2024-08-20,-54.15308340980708,2859.0,527.0596864098225
2024-08-21,37.71578703083783,1782.0,564.7754734406603
2024-08-22,34.799681205541106,1637.0,599.5751546462014
2024-08-23,-59.50939366921707,2142.0,540.0657609769844
2024-08-24,91.75698218305894,2821.0,631.8227431600433
2024-08-25,19.70757825272866,1940.0,651.530321412772
2024-08-26,-9.559442743463633,2862.0,641.9708786693084
2024-08-27,5.953877563495743,2927.0,647.9247562328042
2024-08-28,-57.13724581968398,2728.0,590.7875104131201
2024-08-29,-11.167997048283446,2444.0,579.6195133648366
2024-08-30,-11.207367764582195,2600.0,568.4121456002545
2024-08-31,74.64560875688306,2256.0,643.0577543571376
2024-09-01,43.38934828533091,2796.0,686.4471026424685
2024-09-02,-7.037560686937864,2559.0,679.4095419555307
2024-09-03,-10.893922741835924,2397.0,668.5156192136948
2024-09-04,64.26759593530502,2535.0,732.7832151489998
2024-09-05,10.375440448706016,2812.0,743.1586555977059
2024-09-06,31.476123196490374,2525.0,774.6347787941962
2024-09-07,-25.75783778454713,2319.0,748.876941009649
2024-09-08,54.361593536519244,2192.0,803.2385345461682
2024-09-09,69.46594973003651,2600.0,872.7044842762048
2024-09-10,34.51301905076575,2018.0,907.2175033269705
2024-09-11,38.18533156833887,2180.0,945.4028348953093
2024-09-12,-69.13062101780287,2239.0,876.2722138775064
2024-09-13,-35.2661118223557,2147.0,841.0061020551507
2024-09-14,-26.54272561743299,1614.0,814.4633764377177
2024-09-15,13.724563653965447,1950.0,828.1879400916831
2024-09-16,0.7965004670155675,1855.0,828.9844405586987
2024-09-17,24.62434987575915,2045.0,853.6087904344579
2024-09-18,-2.860022367720166,1884.0,850.7487680667377
2024-09-19,15.138519239371107,2023.0,865.8872873061089
2024-09-20,-84.39652992419241,2000.0,781.4907573819164
2024-09-21,10.143248150359515,1771.0,791.634005532276
