date,change,num_trades,aggregated_change
2024-08-09,-51.750136189217415,37.0,-51.750136189217415
2024-08-10,-135.69079656871804,348.0,-187.44093275793546
2024-08-11,345.6955017296052,596.0,158.25456897166976
2024-08-12,-152.38647936478208,1464.0,5.868089606887679
2024-08-13,323.97222152534096,2613.0,329.84031113222863
2024-08-14,438.69422428296855,2817.0,768.5345354151972
2024-08-15,480.7851171885475,2752.0,1249.3196526037445
2024-08-16,459.07256650209706,3002.0,1708.3922191058416
2024-08-17,217.71875457553324,3010.0,1926.1109736813748
2024-08-18,213.20373779111776,2863.0,2139.3147114724925
2024-08-19,-631.4237886568571,3142.0,1507.8909228156353
2024-08-20,249.51539290321944,3026.0,1757.4063157188548
2024-08-21,-465.34587551736706,1814.0,1292.0604402014878
2024-08-22,-61.05413536239166,1681.0,1231.0063048390962
2024-08-23,674.5071707447263,2197.0,1905.5134755838226
2024-08-24,145.50811835535944,3028.0,2051.021593939182
2024-08-25,-401.08189428883566,2178.0,1649.9396996503463
2024-08-26,-59.2363515551956,3083.0,1590.7033480951507
2024-08-27,-203.97556692399894,3159.0,1386.7277811711517
2024-08-28,2.5648332871816706,3010.0,1389.2926144583334
2024-08-29,358.85715336452745,2687.0,1748.149767822861
2024-08-30,-469.13054315209956,2858.0,1279.0192246707613
2024-08-31,329.3840914114689,2670.0,1608.4033160822303
2024-09-01,-283.2109622072853,3117.0,1325.192353874945
2024-09-02,-676.67117287965,2936.0,648.5211809952949
2024-09-03,707.5293643068727,2824.0,1356.0505453021676
2024-09-04,409.6985929059027,2950.0,1765.7491382080702
2024-09-05,462.11468614212936,3249.0,2227.8638243501996
2024-09-06,124.68396151097306,3026.0,2352.5477858611725
2024-09-07,341.0195731844813,2793.0,2693.567359045654
2024-09-08,244.0902852770853,2801.0,2937.6576443227395
2024-09-09,-93.72073669801364,3152.0,2843.936907624726
2024-09-10,334.829909874164,2498.0,3178.76681749889
2024-09-11,205.01444072817418,2620.0,3383.781258227064
2024-09-12,-203.18029070325787,3010.0,3180.600967523806
2024-09-13,1.2295058416835616,2880.0,3181.8304733654895
2024-09-14,214.97142121606763,2173.0,3396.801894581557
2024-09-15,-110.68650580811004,2538.0,3286.115388773447
2024-09-16,145.02466520516248,2620.0,3431.1400539786096
2024-09-17,-219.74843189973063,2762.0,3211.3916220788788
2024-09-18,107.85360717844037,2700.0,3319.245229257319
2024-09-19,835.2879859162283,2773.0,4154.533215173547
2024-09-20,248.71239818917996,2830.0,4403.245613362727
2024-09-21,-284.8738981595105,2385.0,4118.371715203217
