tradeExecTime,volumeMW,price,name,dlvryStart,dlvryEnd
2023-12-21 12:32:07+00:00,3.0,50.95,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:32:07+00:00,0.2,27.8,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:32:10+00:00,2.0,26.0,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:32:10+00:00,0.4,51.05,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:32:10+00:00,0.6,51.05,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:32:10+00:00,1.4,51.05,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:32:10+00:00,0.1,51.05,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:32:10+00:00,1.0,51.05,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:32:10+00:00,0.5,51.05,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:32:10+00:00,0.5,26.0,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:32:10+00:00,2.0,51.05,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:32:10+00:00,2.0,26.0,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:32:10+00:00,1.0,26.0,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:32:10+00:00,0.1,26.0,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:32:14+00:00,2.0,51.55,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:32:21+00:00,2.0,34.9,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:32:32+00:00,1.6,51.55,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:33:08+00:00,1.0,51.45,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:33:08+00:00,1.0,36.02,1H231221-15,2023-12-21T15:00:00+00:00,2023-12-21T16:00:00+00:00
2023-12-21 12:33:08+00:00,0.4,51.55,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:33:08+00:00,0.6,51.76,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:33:08+00:00,1.0,36.02,1H231221-15,2023-12-21T15:00:00+00:00,2023-12-21T16:00:00+00:00
2023-12-21 12:33:08+00:00,1.0,51.76,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:33:08+00:00,1.0,36.02,1H231221-15,2023-12-21T15:00:00+00:00,2023-12-21T16:00:00+00:00
2023-12-21 12:33:39+00:00,0.1,38.48,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:34:37+00:00,2.1,32.49,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:34:39+00:00,2.1,31.84,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:43:31+00:00,9.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:43:31+00:00,3.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:43:31+00:00,7.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:43:31+00:00,9.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:43:31+00:00,5.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:43:31+00:00,5.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:43:31+00:00,7.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:43:31+00:00,3.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:43:31+00:00,9.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:43:31+00:00,1.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:43:31+00:00,10.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:43:31+00:00,1.0,55.0,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:43:31+00:00,2.3,55.01,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:43:31+00:00,0.4,55.01,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:43:31+00:00,4.6,55.01,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
2023-12-21 12:43:31+00:00,0.7,55.01,4H231221-5,2023-12-21T15:00:00+00:00,2023-12-21T19:00:00+00:00
